ticker,exchange_symbol,company,sector,industry,market,currency,financial_currency,price_major,shares_outstanding,market_cap_local,market_cap_usd,ttm_revenue,ttm_ebitda,ttm_fcf,ttm_fcf_usd,ttm_source,normalized_fcf_margin,normalized_margin_observations,forward_growth,revenue_cagr,latest_yoy_growth,forward_revenue,forward_fcf,expected_fcf,expected_fcf_usd,total_debt_usd,cash_usd,enterprise_value_usd,enterprise_value_calculated_usd,enterprise_value_provider_usd,enterprise_value_source,fcf_yield,revenue_trend,ebitda_trend,fcf_per_share_trend,z_revenue,z_ebitda,z_fcf_per_share,growth_score,fcf_yield_rank,growth_rank,raw_weight,target_weight,annual_periods,latest_annual_period_end,eligible,exclusion_reasons,data_quality_flags
TRM.AX,TRM,Truscott Mining Corporation Limited,Basic Materials,Gold,AU,AUD,AUD,0.044,219588560,9661897,6889052.918,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:6889053,
TRP.AX,TRP,Tissue Repair Ltd,Healthcare,Biotechnology,AU,AUD,AUD,0.082,60464843,4958117,3535199.184,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:3535199,
TRU.AX,TRU,TruScreen Group Limited,Healthcare,Medical Devices,AU,AUD,NZD,0.011,1006790307,11074694,7896394.778,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:7896395,
TSK.AX,TSK,Tusker Minerals Ltd,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.074,111759425,8270197,5896753.482,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:5896753,
TSL.AX,TSL,Titanium Sands Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.007,2344747190,16413231,11702838.16,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:11702838,
TSO.AX,TSO,Tesoro Gold Ltd,Basic Materials,Gold,AU,AUD,AUD,0.945,179736167,169850672,121105644.9,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025-12-31,false,insufficient_annual_history:0,
TSR.AX,TSR,Turnstone Resources Ltd,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.024,211506577,5076158,3619363.887,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:3619364,
TTM.AX,TTM,Titan Minerals Limited,Basic Materials,Gold,AU,AUD,USD,0.58,288016545,167049584,119108434.3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025-12-31,false,insufficient_annual_history:0,reporting_currency_differs:USD_vs_AUD
TTT.AX,TTT,Titomic Limited,Industrials,Specialty Industrial Machinery,AU,AUD,AUD,0.12,1786953394,214434400,152894398.4,9935018,-37957180,,,revenue=provider_ttm|ebitda=provider_ttm,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2025-06-30,false,ttm_fcf_unavailable,revenue_ttm_from_provider|ebitda_ttm_from_provider
TTX.AX,TTX,Tetratherix Limited,Healthcare,Biotechnology,AU,AUD,AUD,6.34,53058311,336389696,239850043.6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-06-30,false,insufficient_annual_history:1,
TUA.AX,TUA,Tuas Limited,Communication Services,Telecom Services,AU,AUD,SGD,2.13,548396171,1168083840,832858328.6,170042000,76483000,40489724,31808037.22,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.2381160184,1,0.3,0.3810797607,0.2923589459,221054600,52636641.2,46563182.6,36579242.8,815435.1121,31224565.9,1152760279,1152760279,492599520.7,calculated,0.03173187302,0.3035242932,0.4339258676,,0.8807399139,0.8060025383,,0.8433712261,178,34,,,4,2025-07-31,true,,reporting_currency_differs:SGD_vs_AUD|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
TVL.AX,TVL,Touch Ventures Limited,Financial Services,Asset Management,AU,,AUD,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,excluded_sector:Financial Services,
TVN.AX,TVN,Tivan Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.195,2347487398,457760032,326388605.1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025-06-30,false,insufficient_annual_history:0,
TWD.AX,TWD,Tamawood Limited,Consumer Cyclical,Residential Construction,AU,AUD,AUD,2.6,39732101,103303456,73656650.97,125777000,12088000,10350000,7379678.929,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.08228849472,1,0.205264087,0.178084593,0.246033328,151594501.1,12474483.3,11412241.65,8137070.458,1478074.823,5950801.965,69289449.67,69289449.67,69289455.37,calculated,0.1174359227,0.1672166283,0.3189506469,,0.2201564727,0.4830896836,,0.3516230781,27,71,23.62056727,0.01950603345,4,2026-06-30,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
TWE.AX,TWE,Treasury Wine Estates Limited,Consumer Defensive,Beverages - Wineries & Distilleries,AU,AUD,AUD,5.16,808937260,4174116352,2976196956,2625999872,-890000000,-650762496,-464001766.1,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2026-06-30,false,ttm_ebitda_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
TWL.AX,TWL,Trade Window Holdings Limited,Technology,Software - Application,AU,AUD,NZD,0.09,163361489,14702535,10483090.6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:10483091,
TWR.AX,TWR,Tower Limited,Financial Services,Insurance - Property & Casualty,AU,,NZD,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,excluded_sector:Financial Services,
TXR.AX,TXR,TalonX Resources Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.007,931996901,6523978,4651677.583,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:4651678,
TYR.AX,TYR,Tyro Payments Limited,Technology,Software - Infrastructure,AU,AUD,AUD,0.695,532454244,370055680,263854309.6,488726016,56424000,-61804500,-44067378.39,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,-0.1264604256,1,0.02418319538,0.03506012188,0.007867805641,500544972.7,-63299130.3,-62551815.15,,,,,,,,,,,,,,,,,,,,4,2026-06-30,false,expected_fcf_not_positive,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
TYX.AX,TYX,Tyranna Resources Limited,Basic Materials,Gold,AU,AUD,AUD,0.002,3916149831,7832300,5584527.466,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:5584527,
TZL.AX,TZL,TZ Limited,Industrials,Security & Protection Services,AU,AUD,AUD,0.033,361608500,11933081,8508435.402,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:8508435,
TZN.AX,TZN,Terramin Australia Limited,Basic Materials,Other Industrial Metals & Mining,AU,AUD,AUD,0.023,2387663574,54916264,39155980.32,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:39155980,
UBN.AX,UBN,Urbanise.com Limited,Technology,Software - Application,AU,AUD,AUD,0.63,79171846,49878264,35563823.56,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:35563824,
UCM.AX,UCM,Uscom Limited,Healthcare,Medical Devices,AU,AUD,AUD,0.012,260147121,3121765,2225857.332,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:2225857,
UM1.AX,UM1,Unity Metals Limited,Basic Materials,Gold,AU,AUD,AUD,0.21,169838802,35666148,25430407.81,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:25430408,
