ticker,exchange_symbol,company,sector,industry,market,currency,market_cap_local,market_cap_usd,enterprise_value_usd,enterprise_value_source,ttm_fcf,ttm_fcf_usd,normalized_fcf_margin,forward_growth,forward_revenue,forward_fcf,expected_fcf,expected_fcf_usd,fcf_yield,revenue_trend,ebitda_trend,fcf_per_share_trend,z_revenue,z_ebitda,z_fcf_per_share,growth_score,fcf_yield_rank,growth_rank,target_weight,raw_weight,ttm_source,data_quality_flags
HLO.AX,HLO,Helloworld Travel Limited,Consumer Cyclical,Travel Services,AU,AUD,231607424,165138978.4,136403863.4,calculated,39323376,28038056.94,0.1948911114,0.3,262302310.4,51120388.8,45221882.4,32243765.48,0.2363845471,0.586193842,0.3954218317,,2.250632233,0.6978622965,,1.474247264,5,19,0.03,47.74264879,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
JIN.AX,JIN,Jumbo Interactive Limited,Consumer Cyclical,Gambling,AU,AUD,421341120,300421467.2,429346240.6,calculated,78075376,55668715.66,0.40334857,0.2391127019,239852567.5,96744190.11,87409783.05,62324264.17,0.1451608475,0.1365044269,0.07434304555,,0.07131692172,-0.2039012896,,-0.06629218393,17,119,0.03,57.55307712,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
JYC.AX,JYC,Joyce Corporation Ltd,Consumer Cyclical,Specialty Retail,AU,AUD,180372528,128607859.3,119869178.7,calculated,33407698,23820104.83,0.196648907,0.09163549077,185452486.6,36469028.8,34938363.4,24911488.33,0.2078222993,0.05142433444,0.1202392407,,-0.3410039869,-0.07499985067,,-0.2080019188,7,152,0.03,43.80844293,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
OML.AX,OML,oOh!media Limited,Communication Services,Advertising Agencies,AU,AUD,871549440,621425607.5,1368738955,calculated,185342128,132151246.1,0.2662758872,0.06670114446,742480523.2,197704660.1,191523394,136558565.7,0.09976962025,0.04667188037,-0.006272019792,,-0.3640356518,-0.4303121693,,-0.3971739105,41,189,0.03,51.37730285,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
ORE.AX,ORE,Orezone Gold Corporation,Basic Materials,Gold,AU,AUD,1857326208,1324296723,1337545723,calculated,210870000,210870000,0.08405891023,0.3,854058400,71791218.38,141330609.2,141330609.2,0.105664133,0.4149906211,0.4996444999,0.4907321002,1.420935584,0.9905761447,0.4962971319,0.9692696202,36,28,0.03,55.03931299,revenue=quarterly_sum|ebitda=quarterly_sum|fcf=quarterly_sum,reporting_currency_differs:USD_vs_AUD|growth_clamped_high|preferred_stock_assumed_zero
REG.AX,REG,Regis Healthcare Limited,Healthcare,Medical Care Facilities,AU,AUD,1367139200,974787279.9,845078192.8,calculated,348566496,248532253.7,0.2580827133,0.3,1755779917,453136444.8,400851470.4,285812091.8,0.3382078655,0.3732907383,0.2144618965,,1.218846787,0.1896285322,,0.7042376594,1,40,0.03,98.80633533,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
RMS.AX,RMS,Ramelius Resources Limited,Basic Materials,Gold,AU,AUD,6800509952,4848848309,5501483584,calculated,654598976,466737224.2,0.6337946514,0.2847789274,1326951827,841014970.3,747806973.1,533195687.2,0.09691852735,0.1976252933,0.4135562977,,0.3675250054,0.7487937245,,0.558159365,43,47,0.03,78.59031253,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,stale_statements:807d|annual_history_below_preferred:3|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
RRL.AX,RRL,Regis Resources Limited,Basic Materials,Gold,AU,AUD,5728157696,4084247792,4900462385,calculated,709559488,505924753.9,0.3020560162,0.3,3053828710,922427334.4,815993411.2,581813466.9,0.1187262387,0.2521922767,0.5556862263,,0.6319712175,1.147971745,,0.889971481,25,31,0.03,99.11543679,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|growth_clamped_high|preferred_stock_assumed_zero
RSG.AX,RSG,Resolute Mining Limited,Basic Materials,Gold,AU,AUD,2800016896,1996446926,2088146926,calculated,213120992,213120992,0.2125259194,0.09200691028,1095064530,232729596,222925294,222925294,0.1067574753,0.110325542,0.3115881278,,-0.0555529643,0.4624117321,,0.2034293839,34,88,0.03,64.7318587,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,reporting_currency_differs:USD_vs_AUD|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
SEG.AX,SEG,Sports Entertainment Group Limited,Communication Services,Broadcasting,AU,AUD,82024664,58484607.2,62242895.86,calculated,23096500,16468092.21,0.1510226634,0.164662632,178116515,26899630.48,24998065.24,17823931.91,0.2863609038,0.1130699137,0.2247262994,,-0.04225300428,0.2184565495,,0.0881017726,2,99,0.03,39.18252601,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
SKT.AX,SKT,SKY Network Television Limited,Communication Services,Entertainment,AU,AUD,399257536,284675596.7,276068387.5,calculated,57748000,33249656.64,0.07001072997,0.05769847956,872437293.9,61079971.8,59413985.9,34208883.95,0.1239145281,0.02534864659,0.01648962182,,-0.4673737521,-0.3663851194,,-0.4168794357,23,191,0.03,40.22553811,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,reporting_currency_differs:NZD_vs_AUD|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
