yahoo_symbol,exchange_symbol,name,stage,reasons
CCO.AX,CCO,The Calmer Co International Limited,market_cap,below_min_market_cap:3806818
CCP.AX,CCP,Credit Corp Group Limited,identity,excluded_sector:Financial Services
CCR.AX,CCR,Credit Clear Limited,market_cap,below_min_market_cap:48442317
CCV.AX,CCV,Cash Converters International Limited,financial_data,ttm_fcf_unavailable
CCX.AX,CCX,City Chic Collective Limited,market_cap,below_min_market_cap:11808760
CDE.AX,CDE,Codeifai Limited,market_cap,below_min_market_cap:3848851
CDR.AX,CDR,Codrus Minerals Limited,market_cap,below_min_market_cap:7554465
CDT.AX,CDT,Castle Minerals Limited,market_cap,below_min_market_cap:11822892
CEL.AX,CEL,Challenger Gold Limited,financial_data,insufficient_annual_history:0
CF1.AX,CF1,Complii FinTech Solutions Ltd,market_cap,below_min_market_cap:9601742
CG1.AX,CG1,Carbonxt Group Limited,market_cap,below_min_market_cap:24563111
CGF.AX,CGF,Challenger Limited,identity,excluded_sector:Financial Services
CGO.AX,CGO,CPT Global Limited,market_cap,below_min_market_cap:2688601
CGR.AX,CGR,CGN Resources Limited,market_cap,below_min_market_cap:5255675
CHC.AX,CHC,Charter Hall Group,identity,excluded_industry:reit
CHL.AX,CHL,Camplify Holdings Limited,market_cap,below_min_market_cap:19347154
CHM.AX,CHM,Chimeric Therapeutics Limited,market_cap,below_min_market_cap:410294
CHN.AX,CHN,Chalice Mining Limited,financial_data,insufficient_annual_history:2
CHR.AX,CHR,Charger Metals NL,market_cap,below_min_market_cap:4679067
CHW.AX,CHW,Chilwa Minerals Limited,financial_data,insufficient_annual_history:0
CIA.AX,CIA,Champion Iron Limited,expected_fcf,expected_fcf_not_positive
CIW.AX,CIW,Clime Investment Management Limited,identity,excluded_sector:Financial Services
CKA.AX,CKA,Cokal Limited,market_cap,below_min_market_cap:42311725
CLA.AX,CLA,Celsius Resources Limited,market_cap,below_min_market_cap:10622928
CLG.AX,CLG,Close the Loop Ltd,market_cap,below_min_market_cap:17367654
CLU.AX,CLU,Cluey Ltd,market_cap,below_min_market_cap:2935289
CLZ.AX,CLZ,Classic Minerals Limited,market_cap,below_min_market_cap:3928417
CMA.AX,CMA,Carma Limited,financial_data,ttm_ebitda_not_positive
CMB.AX,CMB,Cambium Bio Limited,market_cap,below_min_market_cap:9653250
